"COUNTRY","Country","VARIABLE","Variable","UNIT","Unit","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2014","2014",,,"0","Units",,,66741.088,,
"DNK","Denmark","FSE_NON","FISHERIES SUPPORT ESTIMATE - Non Budgetary","USD","US dollar","2008","2008",,,"0","Units",,,49882860.7,,
"DNK","Denmark","FSE_NON","FISHERIES SUPPORT ESTIMATE - Non Budgetary","USD","US dollar","2009","2009",,,"0","Units",,,47752448.568,,
"DNK","Denmark","FSE_NON","FISHERIES SUPPORT ESTIMATE - Non Budgetary","USD","US dollar","2010","2010",,,"0","Units",,,46986766.933,,
"DNK","Denmark","FSE_NON","FISHERIES SUPPORT ESTIMATE - Non Budgetary","USD","US dollar","2011","2011",,,"0","Units",,,45401344.432,,
"DNK","Denmark","FSE_NON","FISHERIES SUPPORT ESTIMATE - Non Budgetary","USD","US dollar","2012","2012",,,"0","Units",,,38126909.496,,
"DNK","Denmark","FSE_NON","FISHERIES SUPPORT ESTIMATE - Non Budgetary","USD","US dollar","2013","2013",,,"0","Units",,,46004275.858,,
"DNK","Denmark","TIFN","TRANSFERS TO INDIVIDUAL FISHERS - Non Budgetary","USD","US dollar","2008","2008",,,"0","Units",,,49882860.7,,
"DNK","Denmark","TIFN","TRANSFERS TO INDIVIDUAL FISHERS - Non Budgetary","USD","US dollar","2009","2009",,,"0","Units",,,47752448.568,,
"DNK","Denmark","TIFN","TRANSFERS TO INDIVIDUAL FISHERS - Non Budgetary","USD","US dollar","2010","2010",,,"0","Units",,,46986766.933,,
"DNK","Denmark","TIFN","TRANSFERS TO INDIVIDUAL FISHERS - Non Budgetary","USD","US dollar","2011","2011",,,"0","Units",,,45401344.432,,
"DNK","Denmark","TIFN","TRANSFERS TO INDIVIDUAL FISHERS - Non Budgetary","USD","US dollar","2012","2012",,,"0","Units",,,38126909.496,,
"DNK","Denmark","TIFN","TRANSFERS TO INDIVIDUAL FISHERS - Non Budgetary","USD","US dollar","2013","2013",,,"0","Units",,,46004275.858,,
"DNK","Denmark","MPS","Market price support","USD","US dollar","2008","2008",,,"0","Units",,,127489.461,,
"DNK","Denmark","MPS","Market price support","USD","US dollar","2009","2009",,,"0","Units",,,247282.488,,
"DNK","Denmark","MPS","Market price support","USD","US dollar","2010","2010",,,"0","Units",,,1369494.211,,
"DNK","Denmark","MPS","Market price support","USD","US dollar","2011","2011",,,"0","Units",,,1316837.072,,
"DNK","Denmark","MPS","Market price support","USD","US dollar","2012","2012",,,"0","Units",,,443146.102,,
"DNK","Denmark","MPS","Market price support","USD","US dollar","2013","2013",,,"0","Units",,,480547.235,,
"DNK","Denmark","FTC","Fuel tax concessions","USD","US dollar","2008","2008",,,"0","Units",,,49755371.239,,
"DNK","Denmark","FTC","Fuel tax concessions","USD","US dollar","2009","2009",,,"0","Units",,,47505166.079,,
"DNK","Denmark","FTC","Fuel tax concessions","USD","US dollar","2010","2010",,,"0","Units",,,45617272.722,,
"DNK","Denmark","FTC","Fuel tax concessions","USD","US dollar","2011","2011",,,"0","Units",,,44084507.36,,
"DNK","Denmark","FTC","Fuel tax concessions","USD","US dollar","2012","2012",,,"0","Units",,,37683763.394,,
"DNK","Denmark","FTC","Fuel tax concessions","USD","US dollar","2013","2013",,,"0","Units",,,45523728.622,,
"DNK","Denmark","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2008","2008",,,"0","Units",,,73632494.386,,
"DNK","Denmark","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2009","2009",,,"0","Units",,,48544354.289,,
"DNK","Denmark","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2010","2010",,,"0","Units",,,47008925.547,,
"DNK","Denmark","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2011","2011",,,"0","Units",,,62561214.932,,
"DNK","Denmark","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2012","2012",,,"0","Units",,,55821449.747,,
