Country,Type,Subtype,Class,Amount,Currency,Year,Source
Brazil,Market Infrastructure,Marketing support,B4,241837955.5,BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Brazil,Market Infrastructure,Processing & storage infrastructure,B4,14522003,BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Brazil,Fuel,Fuel subsidies,B7,18617634,BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Brazil,Assistance,Unemployment insurance,C1,89040030,BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Brazil,Assistance,Worker adjustment and retraining,C1,1500000,BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Brazil,Tax,Non-Fuel tax exemptions,B5,1677128.5,BRL,2018,CIAT (2018) Tax Expenditure Database of Latin America and the Caribbean (TEDLAC)
Brazil,Tax,Non-Fuel tax exemptions,B5,292230294.2,BRL,2018,CIAT (2018) Tax Expenditure Database of Latin America and the Caribbean (TEDLAC)
Brazil,MPAs,MPAs,A3,87613616.35,USD,2005,"Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol."
Brazil,MPAs,MPAs,A3,29028832.51,USD,2005,"Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol."
Brazil,Fishery Development,Development grants for fishery projects,B2,2494491,USD,2017,"OECDStat, Overseas Development Aid, Fishery Development"
Brazil,Access,Access fees for third country agreements,B6,54151.86,USD,2018,"Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne."
Brunei Darsm,MPAs,MPAs,A3,227008.25,USD,2005,"Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol."
Bulgaria,MPAs,MPAs,A3,4270963.48,USD,2005,"Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol."
Cambodia,MPAs,MPAs,A3,647065.18,USD,2005,"Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol."
Cambodia,Access,Access fees for third country agreements,B6,1495908.19,USD,2018,"Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne."
Cameroon,Fishery Management,Fishery management programs & services,A1,2949297000,CFA,2018,Cameroon Loi de Finance 2018
Cameroon,Fishery Development,Development grants for fishery projects,B2,2400759000,CFA,2018,Cameroon Loi de Finance 2018
